uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AM,SRAG,HOSPITAL,"< 9",M,7
AM,SRAG,OUTRO,"< 9",F,1
AP,OUTRAS,DOMICILIO,"< 9",F,2
AP,OUTRAS,DOMICILIO,"< 9",M,4
AP,OUTRAS,HOSPITAL,"< 9",F,59
AP,OUTRAS,HOSPITAL,"< 9",I,2
AP,OUTRAS,HOSPITAL,"< 9",M,57
AP,OUTRAS,IGNORADO,"< 9",F,1
AP,OUTRAS,IGNORADO,"< 9",M,1
AP,OUTRAS,OUTRO,"< 9",F,3
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AP,OUTRAS,POSTO_SAUDE,"< 9",M,1
AP,INDETERMINADA,DOMICILIO,"< 9",M,1
AP,INDETERMINADA,HOSPITAL,"< 9",F,2
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,6
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AP,PNEUMONIA,DOMICILIO,"< 9",F,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,22
AP,PNEUMONIA,HOSPITAL,"< 9",M,25
AP,SEPTICEMIA,HOSPITAL,"< 9",F,22
AP,SEPTICEMIA,HOSPITAL,"< 9",M,30
AP,SRAG,HOSPITAL,"< 9",F,1
AP,SRAG,HOSPITAL,"< 9",M,3
BA,OUTRAS,DOMICILIO,"< 9",F,46
BA,OUTRAS,DOMICILIO,"< 9",M,49
BA,OUTRAS,HOSPITAL,"< 9",F,560
BA,OUTRAS,HOSPITAL,"< 9",I,18
BA,OUTRAS,HOSPITAL,"< 9",M,685
BA,OUTRAS,IGNORADO,"< 9",F,4
BA,OUTRAS,IGNORADO,"< 9",I,9
BA,OUTRAS,IGNORADO,"< 9",M,5
BA,OUTRAS,OUTRO,"< 9",F,4
BA,OUTRAS,OUTRO,"< 9",I,1
BA,OUTRAS,OUTRO,"< 9",M,8
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,23
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,30
BA,OUTRAS,VIA_PUBLICA,"< 9",F,5
BA,OUTRAS,VIA_PUBLICA,"< 9",M,11
BA,INDETERMINADA,HOSPITAL,"< 9",F,2
BA,INDETERMINADA,HOSPITAL,"< 9",M,3
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,9
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,8
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,218
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,7
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,291
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,10
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,3
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
BA,PNEUMONIA,DOMICILIO,"< 9",M,5
BA,PNEUMONIA,HOSPITAL,"< 9",F,84
BA,PNEUMONIA,HOSPITAL,"< 9",M,96
BA,PNEUMONIA,IGNORADO,"< 9",M,2
BA,PNEUMONIA,OUTRO,"< 9",M,1
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
BA,PNEUMONIA,VIA_PUBLICA,"< 9",F,2
BA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
BA,SEPTICEMIA,DOMICILIO,"< 9",F,1
BA,SEPTICEMIA,DOMICILIO,"< 9",M,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,278
BA,SEPTICEMIA,HOSPITAL,"< 9",I,2
BA,SEPTICEMIA,HOSPITAL,"< 9",M,323
BA,SEPTICEMIA,IGNORADO,"< 9",F,1
BA,SEPTICEMIA,IGNORADO,"< 9",M,1
BA,SEPTICEMIA,OUTRO,"< 9",M,2
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,8
BA,SRAG,HOSPITAL,"< 9",F,5
BA,SRAG,HOSPITAL,"< 9",M,9
BA,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,SRAG,VIA_PUBLICA,"< 9",M,1
CE,OUTRAS,DOMICILIO,"< 9",F,24
CE,OUTRAS,DOMICILIO,"< 9",M,22
CE,OUTRAS,HOSPITAL,"< 9",F,545
CE,OUTRAS,HOSPITAL,"< 9",I,14
CE,OUTRAS,HOSPITAL,"< 9",M,679
CE,OUTRAS,IGNORADO,"< 9",F,8
CE,OUTRAS,IGNORADO,"< 9",M,4
CE,OUTRAS,OUTRO,"< 9",F,14
CE,OUTRAS,OUTRO,"< 9",M,18
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,28
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,3
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,28
CE,OUTRAS,POSTO_SAUDE,"< 9",M,1
CE,OUTRAS,VIA_PUBLICA,"< 9",F,3
CE,OUTRAS,VIA_PUBLICA,"< 9",M,4
CE,INDETERMINADA,DOMICILIO,"< 9",I,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,2
CE,INDETERMINADA,HOSPITAL,"< 9",I,1
CE,INDETERMINADA,HOSPITAL,"< 9",M,2
CE,INDETERMINADA,IGNORADO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,40
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,72
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,PNEUMONIA,DOMICILIO,"< 9",F,2
CE,PNEUMONIA,DOMICILIO,"< 9",M,2
CE,PNEUMONIA,HOSPITAL,"< 9",F,61
CE,PNEUMONIA,HOSPITAL,"< 9",M,77
CE,PNEUMONIA,IGNORADO,"< 9",F,1
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
CE,SEPTICEMIA,DOMICILIO,"< 9",F,1
CE,SEPTICEMIA,DOMICILIO,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,136
CE,SEPTICEMIA,HOSPITAL,"< 9",I,1
CE,SEPTICEMIA,HOSPITAL,"< 9",M,155
CE,SEPTICEMIA,IGNORADO,"< 9",M,1
CE,SEPTICEMIA,OUTRO,"< 9",F,2
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,9
CE,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
CE,SRAG,HOSPITAL,"< 9",F,3
CE,SRAG,HOSPITAL,"< 9",M,4
DF,OUTRAS,DOMICILIO,"< 9",F,3
DF,OUTRAS,DOMICILIO,"< 9",M,4
DF,OUTRAS,HOSPITAL,"< 9",F,147
DF,OUTRAS,HOSPITAL,"< 9",I,3
DF,OUTRAS,HOSPITAL,"< 9",M,189
DF,OUTRAS,IGNORADO,"< 9",F,10
DF,OUTRAS,IGNORADO,"< 9",M,12
DF,OUTRAS,OUTRO,"< 9",F,4
DF,OUTRAS,OUTRO,"< 9",M,3
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,3
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
DF,OUTRAS,VIA_PUBLICA,"< 9",M,3
DF,INDETERMINADA,HOSPITAL,"< 9",F,5
DF,INDETERMINADA,HOSPITAL,"< 9",M,5
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,26
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,44
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,PNEUMONIA,HOSPITAL,"< 9",F,28
DF,PNEUMONIA,HOSPITAL,"< 9",M,24
DF,PNEUMONIA,OUTRO,"< 9",F,3
DF,PNEUMONIA,OUTRO,"< 9",M,1
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,SEPTICEMIA,HOSPITAL,"< 9",F,63
DF,SEPTICEMIA,HOSPITAL,"< 9",M,103
DF,SEPTICEMIA,OUTRO,"< 9",F,1
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,SRAG,HOSPITAL,"< 9",F,7
DF,SRAG,HOSPITAL,"< 9",M,9
ES,OUTRAS,DOMICILIO,"< 9",F,8
ES,OUTRAS,DOMICILIO,"< 9",M,12
ES,OUTRAS,HOSPITAL,"< 9",F,153
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,185
ES,OUTRAS,OUTRO,"< 9",F,2
ES,OUTRAS,OUTRO,"< 9",M,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,INDETERMINADA,DOMICILIO,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,20
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,12
ES,PNEUMONIA,DOMICILIO,"< 9",F,4
ES,PNEUMONIA,DOMICILIO,"< 9",M,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,43
ES,PNEUMONIA,HOSPITAL,"< 9",M,49
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,SEPTICEMIA,DOMICILIO,"< 9",M,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,77
ES,SEPTICEMIA,HOSPITAL,"< 9",M,118
ES,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,SRAG,DOMICILIO,"< 9",F,1
ES,SRAG,HOSPITAL,"< 9",F,2
ES,SRAG,HOSPITAL,"< 9",M,2
GO,OUTRAS,AMBULANCIA,"< 9",F,1
GO,OUTRAS,DOMICILIO,"< 9",F,13
GO,OUTRAS,DOMICILIO,"< 9",M,20
GO,OUTRAS,HOSPITAL,"< 9",F,199
GO,OUTRAS,HOSPITAL,"< 9",I,4
GO,OUTRAS,HOSPITAL,"< 9",M,261
GO,OUTRAS,IGNORADO,"< 9",F,5
GO,OUTRAS,IGNORADO,"< 9",M,4
GO,OUTRAS,OUTRO,"< 9",F,6
GO,OUTRAS,OUTRO,"< 9",I,1
GO,OUTRAS,OUTRO,"< 9",M,4
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,12
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,1
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,25
GO,OUTRAS,VIA_PUBLICA,"< 9",F,2
GO,OUTRAS,VIA_PUBLICA,"< 9",M,1
GO,INDETERMINADA,DOMICILIO,"< 9",F,1
GO,INDETERMINADA,DOMICILIO,"< 9",M,1
GO,INDETERMINADA,HOSPITAL,"< 9",M,1
GO,INDETERMINADA,OUTRO,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,58
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,98
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
GO,PNEUMONIA,AMBULANCIA,"< 9",F,1
GO,PNEUMONIA,DOMICILIO,"< 9",F,3
GO,PNEUMONIA,HOSPITAL,"< 9",F,50
GO,PNEUMONIA,HOSPITAL,"< 9",M,36
GO,PNEUMONIA,IGNORADO,"< 9",F,3
GO,PNEUMONIA,IGNORADO,"< 9",M,2
GO,PNEUMONIA,OUTRO,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
GO,SEPTICEMIA,DOMICILIO,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,100
GO,SEPTICEMIA,HOSPITAL,"< 9",M,123
GO,SEPTICEMIA,IGNORADO,"< 9",F,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,8
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,12
GO,SRAG,HOSPITAL,"< 9",F,3
GO,SRAG,HOSPITAL,"< 9",M,4
MA,OUTRAS,DOMICILIO,"< 9",F,23
MA,OUTRAS,DOMICILIO,"< 9",M,27
MA,OUTRAS,HOSPITAL,"< 9",F,252
MA,OUTRAS,HOSPITAL,"< 9",I,3
MA,OUTRAS,HOSPITAL,"< 9",M,333
MA,OUTRAS,IGNORADO,"< 9",F,1
MA,OUTRAS,IGNORADO,"< 9",M,3
MA,OUTRAS,OUTRO,"< 9",F,10
MA,OUTRAS,OUTRO,"< 9",M,9
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,3
MA,OUTRAS,VIA_PUBLICA,"< 9",M,4
MA,INDETERMINADA,DOMICILIO,"< 9",F,1
MA,INDETERMINADA,DOMICILIO,"< 9",M,2
MA,INDETERMINADA,HOSPITAL,"< 9",F,5
MA,INDETERMINADA,HOSPITAL,"< 9",M,5
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,48
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,48
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,PNEUMONIA,AMBULANCIA,"< 9",F,1
MA,PNEUMONIA,DOMICILIO,"< 9",F,2
MA,PNEUMONIA,DOMICILIO,"< 9",M,6
MA,PNEUMONIA,HOSPITAL,"< 9",F,37
MA,PNEUMONIA,HOSPITAL,"< 9",I,1
MA,PNEUMONIA,HOSPITAL,"< 9",M,45
MA,PNEUMONIA,OUTRO,"< 9",M,2
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,VIA_PUBLICA,"< 9",F,2
MA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,70
MA,SEPTICEMIA,HOSPITAL,"< 9",M,103
MA,SEPTICEMIA,OUTRO,"< 9",F,3
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MA,SRAG,HOSPITAL,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,46
MG,OUTRAS,DOMICILIO,"< 9",M,56
MG,OUTRAS,HOSPITAL,"< 9",F,664
MG,OUTRAS,HOSPITAL,"< 9",I,11
MG,OUTRAS,HOSPITAL,"< 9",M,805
MG,OUTRAS,IGNORADO,"< 9",F,24
MG,OUTRAS,IGNORADO,"< 9",I,1
MG,OUTRAS,IGNORADO,"< 9",M,30
MG,OUTRAS,OUTRO,"< 9",F,6
MG,OUTRAS,OUTRO,"< 9",M,12
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,19
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,31
MG,OUTRAS,VIA_PUBLICA,"< 9",F,3
MG,OUTRAS,VIA_PUBLICA,"< 9",M,9
MG,INDETERMINADA,DOMICILIO,"< 9",F,8
MG,INDETERMINADA,DOMICILIO,"< 9",M,9
MG,INDETERMINADA,HOSPITAL,"< 9",F,10
MG,INDETERMINADA,HOSPITAL,"< 9",I,1
MG,INDETERMINADA,HOSPITAL,"< 9",M,11
MG,INDETERMINADA,IGNORADO,"< 9",M,1
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,INDETERMINADA,VIA_PUBLICA,"< 9",F,1
MG,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,12
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,168
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,201
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,8
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,4
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
MG,PNEUMONIA,DOMICILIO,"< 9",F,2
MG,PNEUMONIA,DOMICILIO,"< 9",M,4
MG,PNEUMONIA,HOSPITAL,"< 9",F,85
MG,PNEUMONIA,HOSPITAL,"< 9",M,103
MG,PNEUMONIA,IGNORADO,"< 9",F,3
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
MG,PNEUMONIA,VIA_PUBLICA,"< 9",M,2
MG,SEPTICEMIA,DOMICILIO,"< 9",M,2
MG,SEPTICEMIA,HOSPITAL,"< 9",F,355
MG,SEPTICEMIA,HOSPITAL,"< 9",M,392
MG,SEPTICEMIA,IGNORADO,"< 9",F,9
MG,SEPTICEMIA,IGNORADO,"< 9",M,9
MG,SEPTICEMIA,OUTRO,"< 9",F,1
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",M,2
MG,SRAG,HOSPITAL,"< 9",F,5
MG,SRAG,HOSPITAL,"< 9",M,14
MS,OUTRAS,DOMICILIO,"< 9",F,14
MS,OUTRAS,DOMICILIO,"< 9",M,16
MS,OUTRAS,HOSPITAL,"< 9",F,257
MS,OUTRAS,HOSPITAL,"< 9",M,274
MS,OUTRAS,IGNORADO,"< 9",F,1
MS,OUTRAS,IGNORADO,"< 9",M,1
MS,OUTRAS,OUTRO,"< 9",F,2
MS,OUTRAS,OUTRO,"< 9",M,5
MS,OUTRAS,POSTO_SAUDE,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",M,1
MS,OUTRAS,VIA_PUBLICA,"< 9",F,3
MS,OUTRAS,VIA_PUBLICA,"< 9",M,1
MS,INDETERMINADA,HOSPITAL,"< 9",M,2
MS,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,35
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,44
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
